Batch plan id,Batch plan/Process(Parent Job),Job group(Sub-job),Date & Start Time,Schedule,Status (Automated/Manual),Active vs Non Active,BP name,BP description
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Set Joint Venture on outgoing sales invoice - Twice daily,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update invoiced cost center on outgoing invoice - Twice Daily,Updates invoiced cost center on outgoing invoice - Twice daily
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Twice Daily,Updates invoiced cost center on outgoing invoice with Financial Customer - Daily
100005,Customer invoicing,Generate vehicle procurement invoices - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update invoiced cost center id on outgoing invoice - Twice Daily,Updates invoiced cost center id on outgoing invoice - Twice daily
100005,Customer invoicing,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Generate consolidated invoice - Vehicle Procurement,Generates the consolidated invoice for vehicle procurement invoices
100005,Customer invoicing,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update invoiced cost center on consolidated invoice - Twice daily,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update invoiced cost center id on consolidated invoice - Twice daily,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Twice daily,17/11/2021 19:00,Twice daily,Automated,Active,Update consolidated invoice invoicing address with consolidated cost center address - Twice daily,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Upfront invoicing,"Creates outgoing invoices for upfronts (customer/driver, Subvention, RMT)"
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,GBB invoicing,Creates outgoing invoices for GBB
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Perform Distance Settlements after Contract Termination,"Creates distance correction billing items for terminated contracts (GBB, Operating Lease, Fleet Managed) where the contract termination reason is not ET - Customer Purchase, ET - Legal Purchase, NT - Purchase, ET - Theft, ET - Written Off"
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Settlement (termination) invoicing,"Creates outgoing invoices for terminated contracts to invoice distance correction, make good, missing items and early termination charges"
100005,Customer invoicing,Generate other invoices - Daily,19/11/2021 17:30,Evening,Automated,Active,Update VAT Code to STDZ on Vehicle Sale BI linked to config vehicle with vehicle purchase VAT PSTDC,"Updates the VAT code on billing items to STDZ which 
- are in status Is To Be Invoiced
- have service type = Net Rental
- have billingItemType = Vehicle Sale
- have a configVehicle which was purchase with VAT code PSTDC"
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Update VAT Code on Vehicle Sale BI linked to Vehicle Disposal only and on commission BI,"Updates the VAT code on billing items following formula logic for BI which
- are in status Is To Be Invoiced
- have billing origin = Vehicle Sale, Commission"
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Vehicle Sales invoicing,Creates outgoing invoices for vehicle sales and internal sales that where not directly invoicing upon vehicle sale via the 'Sell And Invoice' option. This process is to be run daily (at the end of the day). 
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Subvention tax invoicing,Creates outgoing tax invoices for subventions after vehicle sale
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Charge-back managed maintenance invoicing,Creates outgoing invoices for charge backs
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Calculate and generate managed maintenance interest billing items,Creates billing items for overdue receivables based on customer setting Charge Late Payment fee and interest % specified in LUT id 500175 Late payment interest rate MM
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Managed maintenance interest invoicing - Daily,Creates outgoing invoices for managed maintenance interest
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Set Joint Venture on outgoing sales invoice - Daily,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate other invoices - Daily,17/11/2021 17:30,Evening,Automated,Active,Update invoiced cost center on outgoing invoice - Daily,Updates invoiced cost center on outgoing invoice - Daily
100005,Customer invoicing,Generate other invoices - Daily,18/11/2021 17:30,Evening,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Daily,Updates invoiced cost center on outgoing invoice with Financial Customer - Daily
100005,Customer invoicing,Generate other invoices - Daily,18/11/2021 17:30,Evening,Automated,Active,Update invoiced cost center id on outgoing invoice - Daily,Updates invoiced cost center id on outgoing invoice - Daily
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - GBB,Generates the consolidated invoice for GBB invoices
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - Upfront (customer - driver),Generates the consolidated invoice for Upfront (customer/driver)
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - Upfront (plan fee OEM),Generates the consolidated invoice for Upfront (plan fee OEM)
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - Upfront (subvention),Generates the consolidated invoice for Upfront (subvention)
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - Subvention tax invoice,Generates the consolidated invoice for subvention tax invoice after vehicle sale
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Generate consolidated invoice - Charge back MM Daily,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting)
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Update invoiced cost center on consolidated invoice - Evening,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Update invoiced cost center id on consolidated invoice - Evening,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Update consolidated invoice invoicing address with consolidated cost center address - Evening,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Daily,17/11/2021 17:30,Evening,Automated,Active,Update consolidated invoice sending address with consolidated cost center address - Evening,to be updated on each consolidated invoice run
100005,Customer invoicing,Weekly informal contract extension,17/11/2021 17:30,Evening,Automated,Active,Extend running contracts (Weekly),Proactively extends all contracts that normally end before the end of next month and for which the customer has not indicated his intention to return the vehicle. This process must run just before the monthly invoice run.
100005,Customer invoicing,Weekly informal contract extension,17/11/2021 17:30,Evening,Automated,Active,Extend overdue contracts (Weekly),Extends all contracts that passed their end date and for which the customer has not returned the vehicle.
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,Calculate Next Bill End Date - Weekly,Calculates the Bill Next Due Date on contracts
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,Contract revision calculation before billing - Weekly,Triggers the revision formulas on NPS contracts which have period duration set to Weeks. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,Bill NPS Contracts - Weekly - In Advance,Creates billing items for contracts which have period duration = weeks and are invoiced In Advance
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,Bill NPS Contracts - Weekly - In Arrears,Creates billing items for contracts which have period duration = weeks and are invoiced In Arrears
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:22,Monthly 20th,Automated,Active,Correct NPS billing items for terminated contracts - Weekly,Retrieves terminated contracts to correct the billing until the actual contract end date
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,CPK contracts distance settlement - Weekly - OL,Settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous weeks
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,CPK contracts distance settlement - Weekly - FM,Settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous weeks
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Set distance settlements isValid to False on Weekly CPK contracts,Sets the distance settlement cost center event to False on CPK contracts
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Amortization Adjustments for CPK Distance Settelements - Weekly,Adjusts the amortisation capital and payment after distance settlement
100005,Customer invoicing,NPS Billing Item Generation - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update VAT Code on Interest billing items - Weekly,"Updates the VAT code on billing items to STDI which 
- are in status Is To Be Invoiced
- have service type = Interest
- have VAT code STDC"
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Rental invoicing - Weekly - In Advance,Creates outgoing invoices for weekly rentals of operational lease and fleet managed.
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Rental invoicing - Weekly - In Arrears,Creates outgoing invoices for weekly rentals of operational lease and fleet managed.
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Set Joint Venture on outgoing sales invoice - Weekly rental,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice - Weekly rental,Updates invoiced cost center on outgoing invoice - Weekly rental
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Weekly rental,Updates invoiced cost center on outgoing invoice with Financial Customer - Weekly rental
100005,Customer invoicing,Generate rental invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center id on outgoing invoice - Weekly rental,Updates invoiced cost center id on outgoing invoice - Weekly rental
100005,Customer invoicing,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Managed maintenance interest invoicing - Weekly,Creates outgoing invoices for managed maintenance interest
100005,Customer invoicing,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Set Joint Venture on outgoing sales invoice - Weekly RMT,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice - Weekly RMT,Updates invoiced cost center on outgoing invoice - Weekly RMT
100005,Customer invoicing,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Weekly RMT,Updates invoiced cost center on outgoing invoice with Financial Customer - Weekly RMT
100005,Customer invoicing,Generate other invoices - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center id on outgoing invoice - Weekly RMT,Updates invoiced cost center id on outgoing invoice - Weekly RMT
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Generate consolidated invoice - Weekly Rental (OL),Generates the consolidated invoice for Weekly Rental invoice (OL)
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Generate consolidated invoice - Weekly Rental (FM),Generates the consolidated invoice for Weekly Rental invoice (FM)
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Generate consolidated invoice - Charge back MM Weekly,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting)
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center on consolidated invoice - Weekly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update invoiced cost center id on consolidated invoice - Weekly,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update consolidated invoice invoicing address with consolidated cost center address - Weekly,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Weekly,24/12/2021 16:23,Monthly 20th,Automated,Active,Update consolidated invoice sending address with consolidated cost center address - Weekly,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,Managed maintenance interest invoicing - Fortnightly,Creates outgoing invoices for managed maintenance interest
100005,Customer invoicing,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,Set Joint Venture on outgoing sales invoice - Fortnightly,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,Update invoiced cost center on outgoing invoice - Fortnightly,Updates invoiced cost center on outgoing invoice - Fortnightly
100005,Customer invoicing,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Fortnightly,Updates invoiced cost center on outgoing invoice with Financial Customer - Fortnightly
100005,Customer invoicing,Generate other invoices - Fortnightly,,Fortnightly,Automated,Active,Update invoiced cost center id on outgoing invoice - Fortnightly,Updates invoiced cost center id on outgoing invoice - Fortnightly
100005,Customer invoicing,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,Generate consolidated invoice - Charge back MM Fortnightly,Generates the consolidated invoice for Charge back RMT on daily basis (depending on customer setting)
100005,Customer invoicing,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,Update invoiced cost center on consolidated invoice - Fortnightly,Updates invoiced cost center (consolidated at) on consolidated invoices - to be run after each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,Update invoiced cost center id on consolidated invoice - Fortnightly,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,Update consolidated invoice invoicing address with consolidated cost center address - Fortnightly,to be updated on each consolidated invoice run
100005,Customer invoicing,Generate consolidated invoice - Fortnightly,,Fortnightly,Automated,Active,Update consolidated invoice sending address with consolidated cost center address - Fortnightly,to be updated on each consolidated invoice run
100005,Customer invoicing,Monthly informal contract extension,24/11/2021 22:07,Monthly 20th,Automated,Active,Extend running contracts (Monthly),Proactively extends all contracts that normally end before the end of next month and for which the customer has not indicated his intention to return the vehicle. This process must run just before the monthly invoice run.
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,Bulk contract modification - precomputed interest change - In Advance contracts,
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,Bulk contract modification - precomputed interest change - In Arrears contracts,
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,Recalculate precomputed amendment quotes LS (prime interest rate bulk modification),update the interest rate on lease service
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:21,Monthly 20th,Automated,Active,Validate precomputed amendment quotes (prime interest rate bulk modification),
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:26,Monthly 20th,Automated,Active,Approve precomputed amendment quotes (prime interest rate bulk modification),
100005,Customer invoicing,Bulk contract modification (prime interest rate for PS contracts),17/12/2021 18:30,Monthly 20th,Automated,Active,CreateContract precomputed amendment quotes (prime interest rate bulk modification),
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:09,Monthly 20th,Automated,Active,Calculate Next Bill End Date - Monthly - 1st month backdated activation,Calculates the Bill Next Due Date on contracts
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,17/12/2021 18:34,Monthly 20th,Automated,Active,Contract revision calculation before billing - Monthly - 1st month backdated,Triggers the revision formulas on NPS contracts which have period duration set to Months. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:09,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Advance - 1st month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Advance
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:09,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Arrears - 1st month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Arrears
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Calculate Next Bill End Date - Monthly - 2nd month backdated activation,Calculates the Bill Next Due Date on contracts
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Contract revision calculation before billing - Monthly - 2nd month backdated,Triggers the revision formulas on NPS contracts which have period duration set to Months. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Advance - 2nd month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Advance
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Arrears - 2nd month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Arrears
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Calculate Next Bill End Date - Monthly - 3rd month backdated activation,Calculates the Bill Next Due Date on contracts
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Contract revision calculation before billing - Monthly - 3rd month backdated,Triggers the revision formulas on NPS contracts which have period duration set to Months. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Advance - 3rd month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Advance
100005,Customer invoicing,NPS Billing Generation - Backdated activations - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Arrears - 3rd month backdated,Creates billing items for contracts which have period duration = months and are invoiced In Arrears
100005,Customer invoicing,NPS Billing Generation - Monthly,24/11/2021 22:10,Monthly 20th,Automated,Active,Calculate Next Bill End Date - Monthly,Calculates the Bill Next Due Date on contracts
100005,Customer invoicing,NPS Billing Generation - Monthly,23/01/2022 14:35,Monthly 20th,Automated,Active,Contract revision calculation before billing - Monthly,Triggers the revision formulas on NPS contracts which have period duration set to Months. Contracts which will be recalculated are those which have a variable interest rate or contracts which have LSC which are set to precomputed = false.
100005,Customer invoicing,NPS Billing Generation - Monthly,24/11/2021 23:39,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Advance,Creates billing items for contracts which have period duration = months and are invoiced In Advance
100005,Customer invoicing,NPS Billing Generation - Monthly,24/11/2021 23:43,Monthly 20th,Automated,Active,Bill NPS Contracts - Monthly - In Arrears,Creates billing items for contracts which have period duration = months and are invoiced In Arrears
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:05,Monthly 20th,Automated,Active,CPK contracts distance settlement - Monthly - OL,"settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous months,"
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:05,Monthly 20th,Automated,Active,CPK contracts distance settlement - Monthly - FM,"settles the difference when the actual distance arrive if the if the cpk billing done based on contract distance in previous months,"
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:06,Monthly 20th,Automated,Active,Set distance settlements isValid to False on Monthly CPK contracts,Sets the distance settlement cost center event to False on CPK contracts
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:06,Monthly 20th,Automated,Active,Amortization Adjustments for CPK Distance Settlements - Monthly,Adjusts the amortisation capital and payment after distance settlement
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:06,Monthly 20th,Automated,Active,Correct NPS billing items for terminated contracts - Monthly,Retrieves terminated contracts to correct the billing until the actual contract end date
100005,Customer invoicing,NPS Billing Generation - Monthly,25/11/2021 00:06,Monthly 20th,Automated,Active,Update VAT Code on Interest billing items - Monthly,"Updates the VAT code on billing items to STDI which 
- are in status Is To Be Invoiced
- have service type = Interest
- have VAT code STDC"
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 00:18,Monthly 20th,Automated,Active,Rental invoicing - Monthly - In Advance,Creates outgoing invoices for monthly rentals of operational lease and fleet managed contracts. This process is to be run monthly.
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 00:46,Monthly 20th,Automated,Active,Rental invoicing - Monthly - In Arrears,Creates outgoing invoices for monthly rentals of operational lease and fleet managed contracts. This process is to be run monthly.
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 02:33,Monthly 20th,Automated,Active,Plan fee invoicing - Monthly - In Advance,Creates outgoing invoices for OEM contracts. This process is to be run monthly.
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 02:33,Monthly 20th,Automated,Active,Set Joint Venture on outgoing sales invoice - Monthly rental,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 03:03,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice - Monthly rental,Updates invoiced cost center on outgoing invoice - Monthly rental
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 03:23,Monthly 20th,Automated,Active,Update invoiced cost center id on outgoing invoice - Monthly rental,Updates invoiced cost center id on outgoing invoice - Monthly rental
100005,Customer invoicing,Generate rental invoices - Monthly,25/11/2021 03:41,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Monthly rental,Updates invoiced cost center on outgoing invoice with Financial Customer - Monthly rental
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:02,Monthly 20th,Automated,Active,Charge-back invoicing,Creates outgoing invoices for charge backs
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:04,Monthly 20th,Automated,Active,Cancellation fee invoicing,Creates outgoing invoices for cancellation fees
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:04,Monthly 20th,Automated,Active,Calculate and generate late payment fee billing items - Standard,Creates billing items for overdue receivables based on customer setting Charge Late Payment fee and interest % specified in LUT id 500129 Late payment interest rate Standard
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:04,Monthly 20th,Automated,Active,Calculate and generate late payment fee billing items - MM Arrears,Creates billing items for overdue receivables based on customer setting Charge Late Payment fee and interest % specified in LUT id 500182 Late payment interest rate MMArrears
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:05,Monthly 20th,Automated,Active,Arrears penalty invoicing,Creates outgoing invoices for arrears penalty
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:05,Monthly 20th,Automated,Active,Managed maintenance interest invoicing - Monthly,Creates outgoing invoices for managed maintenance interest
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:05,Monthly 20th,Automated,Active,Set Joint Venture on outgoing sales invoice - Monthly other,Updates the Joint Venture on sales invoice
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:05,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice - Monthly other,Updates invoiced cost center on outgoing invoice - Monthly other
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:06,Monthly 20th,Automated,Active,Update invoiced cost center on outgoing invoice with Financial Customer - Monthly other,Updates invoiced cost center on outgoing invoice with Financial Customer - Monthly other
100005,Customer invoicing,Generate other invoices - Monthly,25/11/2021 04:06,Monthly 20th,Automated,Active,Update invoiced cost center id on outgoing invoice - Monthly other,Updates invoiced cost center id on outgoing invoice - Monthly other
